id,first_part,second_part
3763532,3763532,
3575846,3575846,
3597655,3597655,
3737548,3737548,
3424546,3424546,
3479183,3479183,
21948792           3245117,21948792,          3245117
23963700    3834809,23963700,   3834809
3531114,3531114,
3531217,3531217,
3664799,3664799,
23511971    3643581,23511971,   3643581
22434880    3401426,22434880,   3401426
,,
3526300,3526300,
3561976,3561976,
2013,2013,
23981980    3809720,23981980,   3809720
3601848,3601848,
3235332,3235332,
23824939,23824939,
23236081,23236081,
2012,2012,
3481955,3481955,
,,
23125445     3532835,23125445,    3532835
3381638,3381638,
3475639,3475639,
3494269,3494269,
3718323,3718323,
3674800,3674800,
3674807,3674807,
3686461,3686461,
3714924,3714924,
3583273,3583273,
3597664,3597664,
3575118,3575118,
3671369,3671369,
3836409,3836409,
3744396,3744396,
3681601,3681601,
3715439,3715439,
3493395,3493395,
3517619,3517619,
3498109,3498109,
3515553,3515553,
3522679,3522679,
3485223,3485223,
3547059,3547059,
3573029,3573029,
3769269,3769269,
3782430,3782430,
3797097,3797097,
3675909,3675909,
3566186,3566186,
3694955,3694955,
3729655,3729655,
3774797,3774797,
3620162,3620162,
3694164,3694164,
3669132,3669132,
3597521,3597521,
3798605,3798605,
3715547,3715547,
3711905,3711905,
3661540,3661540,
3706442,3706442,
3527205,3527205,
23184970    3528594,23184970,   3528594
3529030,3529030,
2294692,2294692,
3612675,3612675,
3396515,3396515,
23341602    3568321,23341602,   3568321
3491520,3491520,
3093473,3093473,
3606973,3606973,
,,
,,
3685266,3685266,
20377523    3685215,20377523,   3685215
23009366     3685217,23009366,    3685217
3583032,3583032,
3526116,3526116,
23697937     3685327,23697937,    3685327
23356304     3561678,23356304,    3561678
22928509    3707360,22928509,   3707360
3631100,3631100,
23282150     3610541,23282150,    3610541
3685328,3685328,
3632086,3632086,
3635657,3635657,
3778707,3778707,
3778709,3778709,
3526858,3526858,
3631101,3631101,
3542821,3542821,
,,
3554041,3554041,
3763426,3763426,
3538203,3538203,
3511128,3511128,
3457933,3457933,
3572961,3572961,
3413714,3413714,
3435256,3435256,
23239765,23239765,
24147036,24147036,
23844111,23844111,
23527131,23527131,
,,
,,
,,
,,
,,
,,
,,
,,
,,
3720247,3720247,
23049479,23049479,
,,
3610625,3610625,
3623702,3623702,
3623704,3623704,
3048377,3048377,
3182865,3182865,
3610635,3610635,
3531293,3531293,
3521700,3521700,
3836716,3836716,
3688519,3688519,
3814327,3814327,
3715425,3715425,
3715432,3715432,
3585130,3585130,
3561070,3561070,
23341772,23341772,
3464202,3464202,
3441679,3441679,
3662650,3662650,
23818873,23818873,
3636136,3636136,
3723533,3723533,
3649993,3649993,
3681629,3681629,
24039607    3764205,24039607,   3764205
3527207,3527207,
,,
3246446,3246446,
3496665,3496665,
3621740,3621740,
3679004,3679004,
3692470,3692470,
3777881,3777881,
3486906,3486906,
3125142,3125142,
3527350,3527350,
3508895,3508895,
3554572,3554572,
3510075,3510075,
3435256,3435256,
3610642,3610642,
3777894,3777894,
3597489,3597489,
3584999,3584999,
3610885,3610885,
3636241,3636241,
3547864,3547864,
23326615          3542187,23326615,         3542187
3413714,3413714,
3605285,3605285,
3772069,3772069,
3772013,3772013,
23166848,23166848,
3443216,3443216,
3557262,3557262,
3559699,3559699,
3502435,3502435,
3491040,3491040,
3532161,3532161,
3474824,3474824,
3509064,3509064,
23285115,23285115,
23251490    3519623,23251490,   3519623
3769304,3769304,
3510196,3510196,
3785524,3785524,
23613774            3632543,23613774,           3632543
3434208,3434208,
3655068,3655068,
3681921,3681921,
23840430     3686795,23840430,    3686795
3680467,3680467,
23613963,23613963,
3669425,3669425,
3782427,3782427,
3749138,3749138,
3567063,3567063,
3784449,3784449,
3641031,3641031,
3646743,3646743,
3647068,3647068,
23505454,23505454,
3610929,3610929,
3608601,3608601,
3609805,3609805,
24023766           3762823,24023766,          3762823
3696104,3696104,
3701006,3701006,
3759422,3759422,
3640068,3640068,
3585173,3585173,
3711559,3711559,
3726763,3726763,
3576415,3576415,
3680382,3680382,
3655956,3655956,
3592866,3592866,
23922795,23922795,
3726769,3726769,
23451279,23451279,
23805333,23805333,
3646404,3646404,
23967111,23967111,
3499358,3499358,
23991236,23991236,
23853603,23853603,
3649981,3649981,
3617094,3617094,
3543450,3543450,
3547931,3547931,
3686740,3686740,
3712012,3712012,
3462185,3462185,
3701544,3701544,
3695900,3695900,
23326315    3541403,23326315,   3541403
3548897,3548897,
3480384,3480384,
3525566,3525566,
3530465,3530465,
3530478,3530478,
3531328,3531328,
3544761,3544761,
3555827,3555827,
3569446,3569446,
3577721,3577721,
3637378,3637378,
3646760,3646760,
3691111,3691111,
,,
